Segment Type,Start Point X,Start Point Y,End Point X,End Point Y
Straight,5.047713151170359,0.7338535442132044,5.04770565032959,0.8638535439968109
Straight,5.04770565032959,0.8638535439968109,5.0476956834520985,0.9938535436147392
Straight,5.0476956834520985,0.9938535436147392,5.047682523727417,1.1654984951019287
Straight,5.047682523727417,1.1654984951019287,5.047635078430176,1.4671425223350525
Straight,5.047635078430176,1.4671425223350525,5.047637939453125,1.7687879800796509
Straight,5.047637939453125,1.7687879800796509,5.047791957855225,2.0704389810562134
Straight,5.047791957855225,2.0704389810562134,5.047592401504517,2.3720779418945312
Straight,5.047592401504517,2.3720779418945312,5.046535491943359,2.6736875772476196
Straight,5.046535491943359,2.6736875772476196,5.047996997833252,2.9753825664520264
Straight,5.047996997833252,2.9753825664520264,5.054185152053833,3.2772375345230103
Straight,4.248257637023926,4.800158500671387,3.9890859127044678,4.953978538513184
Straight,3.9890859127044678,4.953978538513184,3.7155709266662598,5.080641984939575
Straight,3.7155709266662598,5.080641984939575,3.430908441543579,5.1799540519714355
Straight,3.430908441543579,5.1799540519714355,3.137750506401062,5.250427484512329
Straight,3.137750506401062,5.250427484512329,2.8397865295410156,5.296255588531494
Straight,2.8397865295410156,5.296255588531494,2.539120078086853,5.3181071281433105
Straight,2.539120078086853,5.3181071281433105,2.2375710010528564,5.3235108852386475
Straight,2.2375710010528564,5.3235108852386475,1.9359005093574524,5.322162628173828
Straight,1.9359005093574524,5.322162628173828,1.6342605352401733,5.322505950927734
Straight,1.6342605352401733,5.322505950927734,1.332614541053772,5.322503566741943
Straight,1.332614541053772,5.322503566741943,1.030969500541687,5.322561025619507
Straight,1.030969500541687,5.322561025619507,0.729324609041214,5.3226025104522705
Straight,0.729324609041214,5.3226025104522705,0.427679643034935,5.322644948959351
Straight,0.427679643034935,5.322644948959351,0.12603449821472168,5.322690010070801
Straight,0.12603449821472168,5.322690010070801,-0.17561005055904388,5.322726488113403
Straight,-0.17561005055904388,5.322726488113403,-0.4772569537162781,5.322813034057617
Straight,-0.4772569537162781,5.322813034057617,-0.7788949012756348,5.3227338790893555
Straight,-0.7788949012756348,5.3227338790893555,-1.0805605053901672,5.3232011795043945
Straight,-1.3821905255317688,5.322984933853149,-1.6810904741287231,5.284508943557739
Straight,-1.6810904741287231,5.284508943557739,-1.9751620292663574,5.2178521156311035
Straight,-1.9751620292663574,5.2178521156311035,-2.260125994682312,5.119076490402222
Straight,-2.260125994682312,5.119076490402222,-2.5373090505599976,5.00073504447937
Straight,-2.5373090505599976,5.00073504447937,-2.8059630393981934,4.863694906234741
Straight,-2.8059630393981934,4.863694906234741,-3.062180995941162,4.704719543457031
Straight,-3.062180995941162,4.704719543457031,-3.3042320013046265,4.5248870849609375
Straight,-3.3042320013046265,4.5248870849609375,-3.529217481613159,4.3243091106414795
Straight,-3.529217481613159,4.3243091106414795,-3.7318731546401978,4.101363658905029
Straight,-3.2907774448394775,1.5345749258995056,-3.0078725814819336,1.430380940437317
Straight,-3.0078725814819336,1.430380940437317,-2.7149124145507804,1.3586868941783903
Straight,-2.7149124145507804,1.3586868941783903,-2.4165639877319336,1.3140783309936523
Straight,-2.4165639877319336,1.3140783309936523,-2.1169010400772095,1.2831584215164185
Straight,-2.1169010400772095,1.2831584215164185,-1.815625011920929,1.268408864736557
Straight,-1.815625011920929,1.268408864736557,-1.5143309831619263,1.2538496851921082
Straight,-1.5143309831619263,1.2538496851921082,-1.2130455374717712,1.2390367984771729
Straight,-1.2130455374717712,1.2390367984771729,-0.9114704728126526,1.2363835275173187
Straight,-0.9114704728126526,1.2363835275173187,-0.6098254919052124,1.2365630269050598
Straight,-0.6098254919052124,1.2365630269050598,-0.308188796043396,1.2365911602973938
Straight,-0.1363276019692421,-1.974715530872345,-0.43811360001564026,-1.9738110303878784
Straight,-0.43811360001564026,-1.9738110303878784,-0.7397201657295245,-1.9762679934501648
Straight,-0.7397201657295245,-1.9762679934501648,-1.0413659811019875,-1.9779844880104065
Straight,-1.0413659811019875,-1.9779844880104065,-1.3430045247077942,-1.9798510074615479
Straight,-1.3430045247077942,-1.9798510074615479,-1.644643962383268,-1.9816885590553284
Straight,-1.644643962383268,-1.9816885590553284,-1.9462829828262347,-1.9835320115089417
Straight,-1.9462829828262347,-1.9835320115089417,-2.2479225397109985,-1.985372543334961
Straight,-2.2479225397109985,-1.985372543334961,-2.549562096595764,-1.9872255325317383
Straight,-2.549562096595764,-1.9872255325317383,-2.851203441619873,-1.98899644613266
Straight,-2.851203441619873,-1.98899644613266,-3.1528279781341553,-1.9913004636764526
Straight,-3.1528279781341553,-1.9913004636764526,-3.4545594453811646,-1.990263044834137
Straight,-3.761020541191101,-5.2993834018707275,-3.460679054260254,-5.324389457702637
Straight,-3.460679054260254,-5.324389457702637,-3.1590585708618164,-5.324723482131958
Straight,-3.1590585708618164,-5.324723482131958,-2.8573139905929565,-5.3203818798065186
Straight,-2.8573139905929565,-5.3203818798065186,-2.5556769371032715,-5.320091009140015
Straight,-2.5556769371032715,-5.320091009140015,-2.2540465593338013,-5.320049047470093
Straight,-2.2540465593338013,-5.320049047470093,-1.952399492263794,-5.319373607635498
Straight,-1.952399492263794,-5.319373607635498,-1.6507534980773952,-5.318728923797607
Straight,-1.6507534980773952,-5.318728923797607,-1.3491094708442688,-5.318179130554199
Straight,-1.3491094708442688,-5.318179130554199,-1.0474649667739868,-5.317615032196045
Straight,-1.0474649667739868,-5.317615032196045,-0.7458204627037088,-5.317038059234619
Straight,-0.7458204627037088,-5.317038059234619,-0.44417594373226166,-5.316463947296143
Straight,-0.44417594373226166,-5.316463947296143,-0.1425314992666209,-5.315891981124878
Straight,-0.1425314992666209,-5.315891981124878,0.15911295264959335,-5.3153181076049805
Straight,0.15911295264959335,-5.3153181076049805,0.46075744926929474,-5.314745903015137
Straight,0.46075744926929474,-5.314745903015137,0.7624020576477013,-5.314177513122559
Straight,0.7624020576477013,-5.314177513122559,1.0640459656715429,-5.313592910766602
Straight,1.0640459656715429,-5.313592910766602,1.365689992904663,-5.312999963760376
Straight,1.365689992904663,-5.312999963760376,1.6673370003700232,-5.312516927719116
Straight,1.6673370003700232,-5.312516927719116,1.96898353099823,-5.312005996704102
Straight,1.96898353099823,-5.312005996704102,2.270608067512512,-5.310791015625
Straight,2.270608067512512,-5.310791015625,2.57225501537323,-5.310286045074463
Straight,2.57225501537323,-5.310286045074463,2.874038577079773,-5.314147472381592
Straight,2.874038577079773,-5.314147472381592,3.17556989192963,-5.309978008270264
Straight,5.034102439880371,-3.6602519750595093,5.051187992095947,-3.359257936477661
Straight,5.051187992095947,-3.359257936477661,5.050349473953247,-3.0575923919677734
Straight,5.050349473953247,-3.0575923919677734,5.047270059585571,-2.75586998462677
Straight,5.047270059585571,-2.75586998462677,5.0475685596466064,-2.4542330503463745
Straight,5.0475685596466064,-2.4542330503463745,5.048034429550171,-2.1525999307632446
Straight,5.048034429550171,-2.1525999307632446,5.047942638397217,-1.8509529829025269
Straight,5.047942638397217,-1.8509529829025269,5.0478515625,-1.5493065118789673
Straight,5.0478515625,-1.5493065118789673,5.047849178314209,-1.2476614713668823
Straight,5.047849178314209,-1.2476614713668823,5.047840118408203,-0.9460167586803436
Straight,5.047840118408203,-0.9460167586803436,5.047814846038818,-0.6443717181682587
